timeTick, roll, pitch, yaw, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, otX0, otY0, otZ0, otRoll0, otPitch0, otYaw0, motor1, motor2, motor3, motor4, voltage
389234, -0.5982918739318848, -0.1492740958929062, -9.29442310333252, 0, 0, 0, 0, 0, 0, 0.025595471262931824, -1.6816377639770508, 0.06514044106006622, 1.553221628881596, 0.20797525184295296, 92.01015742373838, 0, 0, 0, 0, 0
389244, -0.5982630252838135, -0.15009599924087524, -9.294196128845215, 0.0, 0.0, -220.81735229492188, 0.0, 0.0, -0.03509521484375, 0.025597242638468742, -1.6816315650939941, 0.06515185534954071, 1.5511439163498018, 0.20505338315348354, 92.01271247516144, 9362.0, 34078.0, 35388.0, 9362.0, 8.271075248718262
389254, -0.5984296202659607, -0.15138235688209534, -9.292588233947754, 0.0, 0.0, -220.8175048828125, 0.0, 0.0, -0.0152587890625, 0.02559220977127552, -1.6816167831420898, 0.06516655534505844, 1.5601410143384697, 0.20380848716351352, 92.01536592533795, 9362.0, 34078.0, 35388.0, 9362.0, 8.271075248718262
389264, -0.597774863243103, -0.15115858614444733, -9.292820930480957, 0.0, 0.0, -220.81765747070312, 0.0, 0.0, -0.0152587890625, 0.025589719414711, -1.6816344261169434, 0.06514851003885269, 1.5553234247404126, 0.2023845167182401, 92.02133188177208, 9362.0, 34078.0, 35388.0, 9362.0, 8.271075248718262
389274, -0.5975410342216492, -0.14989154040813446, -9.295557022094727, 0.0, 0.0, -220.8177947998047, 0.0, 0.0, -0.01373291015625, 0.0255974680185318, -1.6816291809082031, 0.06515150517225266, 1.5610192039671307, 0.20767739863316592, 92.0158021405657, 9362.0, 34078.0, 35388.0, 9362.0, 8.271075248718262
389284, -0.5979956984519958, -0.14993517100811005, -9.296538352966309, 0.0, 0.0, -220.81793212890625, 0.0, 0.0, -0.01373291015625, 0.025596510618925095, -1.6816247701644897, 0.06516847014427185, 1.5527361366979355, 0.20471843007717894, 92.01837285350332, 9362.0, 34078.0, 35388.0, 9362.0, 8.271075248718262
389294, -0.5982555150985718, -0.14885571599006653, -9.297507286071777, 0.0, 0.0, -220.8181915283203, 0.0, 0.0, -0.02593994140625, 0.02558673545718193, -1.681627631187439, 0.06515565514564514, 1.5570728070112212, 0.20972708958066733, 92.01713100859841, 9362.0, 34078.0, 35388.0, 9362.0, 8.271075248718262
389304, -0.5980342626571655, -0.14674445986747742, -9.299586296081543, 0.0, 0.0, -220.81845092773438, 0.0, 0.0, -0.02593994140625, 0.02554571069777012, -1.6816205978393555, 0.0651361495256424, 1.567336568307475, 0.20792012690912998, 92.03840286851495, 9362.0, 34078.0, 35388.0, 9362.0, 8.271075248718262
389314, -0.5983602404594421, -0.14617548882961273, -9.29990291595459, 0.0, 0.0, -220.81857299804688, 0.0, 0.0, -0.01220703125, 0.025597896426916122, -1.6816169023513794, 0.06517329066991806, 1.5594886233397662, 0.20783350984405047, 92.02099435027566, 9362.0, 34078.0, 35388.0, 9362.0, 8.271075248718262
389324, -0.5978062748908997, -0.148101806640625, -9.301200866699219, 0.0, 0.0, -220.81869506835938, 0.0, 0.0, -0.01220703125, 0.025553204119205475, -1.6816240549087524, 0.06516634672880173, 1.5735297756985704, 0.2034802238639486, 92.04199688681992, 9362.0, 34078.0, 35388.0, 9362.0, 8.271075248718262
389334, -0.5981582403182983, -0.14875970780849457, -9.301582336425781, 0.0, 0.0, -220.8187713623047, 0.0, 0.0, -0.00762939453125, 0.025585073977708817, -1.6816385984420776, 0.06513849645853043, 1.5602570095333634, 0.206808405051504, 92.0154891650003, 9362.0, 34078.0, 35388.0, 9362.0, 8.271075248718262
389344, -0.595670223236084, -0.1475057452917099, -9.301762580871582, 0.0, 0.0, -220.81884765625, 0.0, 0.0, -0.00762939453125, 0.02559271827340126, -1.6816229820251465, 0.06516440212726593, 1.55371660198703, 0.21184058489276936, 92.0105538747435, 9362.0, 34078.0, 35388.0, 9362.0, 8.271075248718262
389354, -0.5952306389808655, -0.14554597437381744, -9.304564476013184, 0.0, 0.0, -220.81883239746094, 0.0, 0.0, 0.00152587890625, 0.025588959455490112, -1.6816256046295166, 0.06517229974269867, 1.5530971515367022, 0.2072399277948307, 92.02109874307732, 9362.0, 34078.0, 35388.0, 9362.0, 8.271075248718262
389364, -0.5950636863708496, -0.1443725973367691, -9.306260108947754, 0.0, 0.0, -220.81881713867188, 0.0, 0.0, 0.00152587890625, 0.02558887004852295, -1.6816450357437134, 0.06515130400657654, 1.5564461895745691, 0.20330795864046536, 92.0165205852953, 9362.0, 34078.0, 35388.0, 9362.0, 8.271075248718262
389374, -0.5963903069496155, -0.14342087507247925, -9.306605339050293, 0.0, 0.0, -220.81846618652344, 0.0, 0.0, 0.03509521484375, 0.025595519691705704, -1.6816229820251465, 0.06516747176647186, 1.5582316328892152, 0.20827553834709533, 92.0196112840416, 9362.0, 34078.0, 35388.0, 9362.0, 8.271075248718262
389384, -0.5968098044395447, -0.14546553790569305, -9.305532455444336, 0.0, 0.0, -220.818115234375, 0.0, 0.0, 0.03509521484375, 0.02555491402745247, -1.6816273927688599, 0.06516306847333908, 1.5640855556197906, 0.20747704758107943, 92.04695536519307, 9362.0, 34078.0, 35388.0, 9362.0, 8.271075248718262
389394, -0.5958805084228516, -0.14365309476852417, -9.307284355163574, 0.0, 0.0, -220.8179473876953, 0.0, 0.0, 0.01678466796875, 0.025595344603061676, -1.6816272735595703, 0.0651664212346077, 1.559166255523713, 0.20779485040100099, 92.0231042735452, 9362.0, 34078.0, 35388.0, 9362.0, 8.271075248718262
