timeTick, roll, pitch, yaw, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, otX0, otY0, otZ0, otRoll0, otPitch0, otYaw0, motor1, motor2, motor3, motor4, voltage, roll rate, pitch rate, yaw rate
703266, 1.1799447536468506, -0.2558422386646271, 1.893373966217041, -0.06016833707690239, -0.09629268944263458, 0.9906165599822998, -0.0017009889706969261, 0.01711777038872242, 0.08137711137533188, -0.0647348165512085, -0.10060766339302063, 0.9953406453132629, 1.6428320267420726, 1.9447345278779267, 1.5917792276253524, 33342.0, 33544.0, 29796.0, 36727.0, 7.477686405181885, -81.05351257324219, -22.753236770629883, 38.94496536254883
703276, 0.08229407668113708, -0.14460109174251556, 2.4624078273773193, -0.06018322333693504, -0.09613222628831863, 0.9915323257446289, -0.001261093420907855, 0.014924498274922371, 0.10176553577184677, -0.06426914781332016, -0.10259409993886948, 0.9951009750366211, 1.242577680343924, 2.1000904142462673, 2.3499767257821826, 33342.0, 33544.0, 29796.0, 36727.0, 7.43801736831665, -81.05351257324219, -22.753236770629883, 38.94496536254883
703286, -0.6084268093109131, -0.07643438130617142, 1.7742656469345093, -0.060635779052972794, -0.09535474330186844, 0.990008533000946, -0.0019532409496605396, 0.014652821235358715, 0.07832752168178558, -0.06431324034929276, -0.10502611845731735, 0.9950556755065918, 0.3500357929194751, 2.065680354259513, 2.8681779356488812, 34647.0, 33498.0, 29944.0, 35109.0, 7.398348331451416, -81.05351257324219, -22.753236770629883, 38.94496536254883
703296, -0.8615314364433289, -0.16807520389556885, 3.1525211334228516, -0.06065438315272331, -0.09520868957042694, 0.9906604886054993, -0.0017337106401100755, 0.014241313561797142, 0.05207573622465134, -0.06496928632259369, -0.1039692610502243, 0.9950037598609924, 0.6009861731725491, 1.8155810790056535, 2.152714756451504, 35315.0, 33449.0, 29989.0, 34303.0, 7.398348331451416, -26.868410110473633, -10.06179141998291, -80.63674926757812
703306, -0.5528773665428162, -0.25548961758613586, 2.2949836254119873, -0.06065438315272331, -0.09520868957042694, 0.9906604886054993, -0.0017337106401100755, 0.014241313561797142, 0.05207573622465134, -0.06517016142606735, -0.10238055884838104, 0.9953983426094055, 0.6506901203759217, 1.7996004597280262, 1.4996940802145202, 35407.0, 33486.0, 29877.0, 34194.0, 7.457852363586426, -26.868410110473633, -10.06179141998291, -80.63674926757812
703316, 0.4339717626571655, -0.2688213884830475, 2.643364667892456, -0.060686852782964706, -0.09490115195512772, 0.9916776418685913, -0.00149166164919734, 0.01666981354355812, 0.03843860700726509, -0.06524495780467987, -0.09731300920248032, 0.9951369762420654, 2.1951317770355367, 1.9119945347971168, 1.2747444461564121, 34864.0, 33548.0, 29727.0, 34858.0, 7.457852363586426, 114.2821044921875, 27.03106117248535, -21.302377700805664
703326, 0.7255704998970032, -0.29791489243507385, 2.136085271835327, -0.06069914996623993, -0.09472812712192535, 0.9922155737876892, -0.0009457485284656286, 0.017412323504686356, 0.06917174905538559, -0.06593772023916245, -0.09660716354846954, 0.9955784678459167, 2.265645633765732, 1.6345487507546466, 2.0216491425488834, 34864.0, 33548.0, 29727.0, 34858.0, 7.43801736831665, 114.2821044921875, 27.03106117248535, -21.302377700805664
703336, 1.1955757141113281, -0.31084486842155457, 2.8582231998443604, -0.061086371541023254, -0.09607725590467453, 0.9910687208175659, -0.0013450487749651074, 0.012353964149951935, 0.08645350486040115, -0.06588567048311234, -0.09465605765581131, 0.9952069520950317, 3.1724372629840136, 1.7792606516139529, 1.296982767560361, 33661.0, 33641.0, 29640.0, 36377.0, 7.477686405181885, 114.2821044921875, 27.03106117248535, -21.302377700805664
703346, 1.540761113166809, -0.4094501733779907, 1.913985013961792, -0.06109786406159401, -0.09595824033021927, 0.9917943477630615, -0.0009669112623669207, 0.011672058142721653, 0.05866429582238197, -0.06623289734125137, -0.09721752256155014, 0.9956041574478149, 2.6435931404371202, 1.6942607592424963, 0.9719332637285986, 33661.0, 33641.0, 29640.0, 36377.0, 7.457852363586426, -19.81537628173828, 7.113364219665527, 82.74957275390625
703356, 0.47384700179100037, -0.22392523288726807, 2.1000478267669678, -0.06109786406159401, -0.09595824033021927, 0.9917943477630615, -0.0009669112623669207, 0.011672058142721653, 0.05866429582238197, -0.06560719013214111, -0.10095702856779099, 0.995938241481781, 1.6824666060757814, 1.9622650035736342, 1.6852856783529317, 33617.0, 33618.0, 29736.0, 36351.0, 7.418182373046875, -19.81537628173828, 7.113364219665527, 82.74957275390625
703366, -0.4112865626811981, -0.10978657007217407, 1.983358383178711, -0.06110217794775963, -0.09577438235282898, 0.9932194352149963, 0.0005647793295793235, 0.006587596144527197, 0.07300980389118195, -0.06538831442594528, -0.10436233133077621, 0.9953206777572632, 0.6463082966009422, 1.9437983595037451, 2.930378009055092, 34532.0, 33507.0, 29839.0, 35354.0, 7.457852363586426, -101.92311096191406, -15.2996244430542, -248.3426513671875
703376, -0.9565564393997192, -0.30024537444114685, 3.0195534229278564, -0.06109530106186867, -0.0957108736038208, 0.9937509298324585, 0.0009085966739803553, 0.005503254942595959, 0.033313509076833725, -0.06635549664497375, -0.10398665815591812, 0.9958240985870361, 0.5900044151001431, 1.447785769701909, 2.051536133602372, 34532.0, 33507.0, 29839.0, 35354.0, 7.457852363586426, -101.92311096191406, -15.2996244430542, -248.3426513671875
703386, -0.9237147569656372, -0.38147103786468506, 1.7983263731002808, -0.061085157096385956, -0.09565123915672302, 0.9942289590835571, 0.0011884539853781462, 0.006707772612571716, 0.062280382961034775, -0.06633823364973068, -0.10197458416223526, 0.9952996969223022, 0.8625559989713809, 1.6111964550421476, 1.3225444640043056, 35691.0, 33450.0, 29839.0, 34074.0, 7.457852363586426, 49.02812957763672, 29.178112030029297, 3.6518008708953857
703396, -0.21459569036960602, -0.25900998711586, 2.4784598350524902, -0.06159910559654236, -0.09581012278795242, 0.9929330945014954, -1.597504706296604e-05, 0.006998475641012192, 0.011109022423624992, -0.06615060567855835, -0.09838411211967468, 0.995093584060669, 1.8219190569998538, 1.733788355345098, 0.7688100615769107, 35691.0, 33450.0, 29839.0, 34074.0, 7.457852363586426, 49.02812957763672, 29.178112030029297, 3.6518008708953857
